Year,Temp
1906,24.3
1907,28.2
1908,25.7
1909,19.8
1910,23.8
1911,24.1
1912,29.6
1913,26.2
1914,25.6
1915,27.9
1916,26.2
1917,23.5
1918,24.8
1919,26.5
1920,26.6
1921,27.1
1922,26
1923,28.7
1924,26.1
1925,26.3
1926,32.4
1927,24.8
1928,29.1
1929,29.7
1931,26.4
1932,22.3
1933,22.1
1934,25.9
1935,23.8
1936,25.8
1937,27.5
1938,27.3
1939,25.1
1940,30.1
1941,27.6
1942,27.7
1943,27.1
1944,27.5
1945,25.4
1946,24.4
1947,26.2
1948,23.3
1949,26.2
1950,25.8
1951,25
1952,26.2
1953,27
1954,24.6
1955,23.4
1956,21.3
1957,29.5
1958,27.6
1959,24.1
1960,27.4
1961,23.3
1962,27.7
1963,26.6
1964,22.7
1965,23.5
1966,22.7
1967,27
1968,25.6
1969,27
1970,28.9
1971,23.7
1972,24.4
1973,27
1974,25.2
1975,25.9
1976,28.8
1977,27.8
1978,30.2
1979,27.3
1980,28.7
1981,32
1982,26.5
1983,28.6
1984,27.1
1985,17.1
1986,28.5
1987,30.4
1988,29.4
1989,27.5
1990,26.8
1991,28.5
1992,25.1
1993,31.4
1994,27.3
1995,28.2
1996,24.5
1997,28.6
1998,28.4
1999,23.4
2000,28
2001,28.4
2002,30.4
2003,29
2004,28.7
2005,28.9
2006,25.7
2007,27.6
2008,25.7
2009,27.6
2010,28.7
2011,27.6
2012,24.1
2013,28.1
2014,30.9
2015,30
