Year,Month,TtlP0
1955,1,22.4
1955,2,5.3
1955,3,8.1
1955,4,0
1955,5,7.1
1955,6,43.2
1955,7,14
1955,8,86.1
1955,9,10.7
1955,10,4.8
1955,11,26.4
1955,12,23.6
1956,1,12.7
1956,2,11.7
1956,3,0
1956,4,6.9
1956,5,40.1
1956,6,45
1956,7,48.3
1956,8,40.9
1956,9,2.8
1956,10,37.1
1956,11,33
1956,12,18
1957,1,14.7
1957,2,23.9
1957,3,13.7
1957,4,7.9
1957,5,15.2
1957,6,12.7
1957,7,34.8
1957,8,19.6
1957,9,19.8
1957,10,2.3
1957,11,33.3
1957,12,20.8
1958,1,20.8
1958,2,16.3
1958,3,1.3
1958,4,3
1958,5,14.2
1958,6,33.5
1958,7,62
1958,8,67.1
1958,9,17
1958,10,45.2
1958,11,35.1
1958,12,12.4
1959,1,10.2
1959,2,21.1
1959,3,24.4
1959,4,10.7
1959,5,19.3
1959,6,46.7
1959,7,29
1959,8,37.6
1959,9,25.1
1959,10,6.4
1959,11,20.1
1959,12,14.5
1960,1,11.2
1960,2,15.2
1960,3,12.7
1960,4,5.1
1960,5,18.5
1960,6,26.4
1960,7,117.9
1960,8,36.6
1960,9,28.4
1960,10,8.4
1960,11,24.1
1960,12,17.8
1961,1,13.5
1961,2,10.9
1961,3,11.2
1961,4,6.6
1961,5,23.4
1961,6,45
1961,7,44.5
1961,8,25.9
1961,9,18.3
1961,10,41.9
1961,11,24.4
1961,12,29.2
1962,1,25.4
1962,2,17.3
1962,3,4.1
1962,4,24.9
1962,5,16.3
1962,6,55.9
1962,7,35.6
1962,8,39.4
1962,9,13
1962,10,6.4
1962,11,15
1962,12,37.8
1963,1,47.8
1963,2,7.4
1963,3,10.7
1963,4,10.9
1963,5,0
1963,6,47.5
1963,7,58.7
1963,8,18.5
1963,9,35.1
1963,10,27.2
1963,11,14.7
1963,12,47.5
1964,1,24.1
1964,2,19.1
1964,3,16.5
1964,4,16
1964,5,26.2
1964,6,53.6
1964,7,88.1
1964,8,30.7
1964,9,21.1
1964,10,19.8
1964,11,19.1
1964,12,20.1
1965,1,12.2
1965,2,9.9
1965,3,5.1
1965,4,3.6
1965,5,14
1965,6,30
1965,7,41.9
1965,8,17.5
1965,9,40.4
1965,10,42.4
1965,11,17.8
1965,12,24.9
1966,1,7.6
1966,2,26.2
1966,3,6.6
1966,4,10.2
1966,5,5.8
1966,6,28.2
1966,7,7.1
1966,8,20.3
1966,9,16
1966,10,35.3
1966,11,61
1966,12,10.4
1967,1,37.6
1967,2,26.7
1967,3,31.2
1967,4,14.2
1967,5,16.5
1967,6,46.2
1967,7,65
1967,8,56.4
1967,9,28.4
1967,10,13
1967,11,16.3
1967,12,18.5
1968,1,30.7
1968,2,12.2
1968,3,19.8
1968,4,15.7
1968,5,25.1
1968,6,21.3
1968,7,29.7
1968,8,25.7
1968,9,59.7
1968,10,14.2
1968,11,27.4
1968,12,10.7
1969,1,11.7
1969,2,3.6
1969,3,14.5
1969,4,11.9
1969,5,30.5
1969,6,3.3
1969,7,81.5
1969,8,12.2
1969,9,22.9
1969,10,7.9
1969,11,25.7
1969,12,14.5
1970,1,8.4
1970,2,16
1970,3,2
1970,4,7.6
1970,5,48.8
1970,6,24.4
1970,7,5.3
1970,8,42.7
1970,9,50.3
1970,10,35.3
1970,11,25.7
1970,12,35.3
1971,1,4.6
1971,2,6.6
1971,3,7.9
1971,4,4.8
1971,5,7.4
1971,6,11.7
1971,7,24.1
1971,8,45
1971,9,22.1
1971,10,28.4
1971,11,28.4
1971,12,40.4
1972,1,23.1
1972,2,13.7
1972,3,7.9
1972,4,12.7
1972,5,14.7
1972,6,70.9
1972,7,47.2
1972,8,23.1
1972,9,23.4
1972,10,54.1
1972,11,20.1
1972,12,12.2
1973,1,25.1
1973,2,12.4
1973,3,17.8
