Year,Month,TtlP
1942,1,75.4
1942,2,105.7
1942,3,112.8
1942,4,77.2
1942,5,60.2
1942,6,43.7
1942,7,39.4
1942,8,85.1
1942,9,102.4
1942,10,80
1942,11,81.5
1942,12,146.3
1943,1,60.5
1943,2,80
1943,3,89.7
1943,4,84.1
1943,5,69.9
1943,6,215.6
1943,7,92.7
1943,8,102.6
1943,9,22.9
1943,10,114.3
1943,11,68.8
1943,12,53.1
1944,1,54.4
1944,2,63.5
1944,3,55.6
1944,4,62
1944,5,39.9
1944,6,80.8
1944,7,93
1944,8,12.2
1944,9,126
1944,10,43.4
1944,11,77.2
1944,12,97.8
1945,1,83.1
1945,2,48.3
1945,3,53.1
1945,4,104.4
1945,5,175.3
1945,6,55.1
1945,7,149.6
1945,8,74.9
1945,9,142.5
1945,10,118.1
1945,11,92.7
1945,12,54.1
1946,1,97.5
1946,2,66.5
1946,3,32.3
1946,4,68.1
1946,5,80.8
1946,6,46.7
1946,7,57.7
1946,8,66.5
1946,9,141.7
1946,10,88.6
1946,11,94
1946,12,139.2
1947,1,126.5
1947,2,83.8
1947,3,74.2
1947,4,78.2
1947,5,100.1
1947,6,98.6
1947,7,134.4
1947,8,35.3
1947,9,94.7
1947,10,25.7
1947,11,96.8
1947,12,60.7
1948,1,53.1
1948,2,53.8
1948,3,116.3
1948,4,61.7
1948,5,57.9
1948,6,70.4
1948,7,75.9
1948,8,73.2
1948,9,11.2
1948,10,62.2
1948,11,127
1948,12,90.7
1949,1,84.1
1949,2,54.4
1949,3,73.9
1949,4,78.7
1949,5,45
1949,6,71.4
1949,7,60.2
1949,8,81.3
1949,9,85.9
1949,10,34
1949,11,103.9
1949,12,92.2
1950,1,102.4
1950,2,103.4
1950,3,82.8
1950,4,63.8
1950,5,74.7
1950,6,46.2
1950,7,100.6
1950,8,87.4
1950,9,56.1
1950,10,65.8
1950,11,129.5
1950,12,89.7
1951,1,103.4
1951,2,60.7
1951,3,122.9
1951,4,93.7
1951,5,52.3
1951,6,79
1951,7,103.1
1951,8,82.6
1951,9,81.8
1951,10,49.3
1951,11,140.5
1951,12,110.5
1952,1,96
1952,2,84.6
1952,3,75.2
1952,4,59.9
1952,5,96.8
1952,6,122.7
1952,7,118.1
1952,8,132.1
1952,9,110
1952,10,100.8
1952,11,63.5
1952,12,113.5
1953,1,93.2
1953,2,39.9
1953,3,96.3
1953,4,82.6
1953,5,83.3
1953,6,85.6
1953,7,70.9
1953,8,46.5
1953,9,71.9
1953,10,41.4
1953,11,42.2
1953,12,98.3
1954,1,107.7
1954,2,143.8
1954,3,55.6
1954,4,113.8
1954,5,100.3
1954,6,100.8
1954,7,49
1954,8,100.6
1954,9,123.4
1954,10,81
1954,11,102.9
1954,12,131.3
1955,1,34.3
1955,2,59.7
1955,3,165.1
1955,4,30
1955,5,48
1955,6,57.9
1955,7,41.4
1955,8,106.4
1955,9,61.5
1955,10,74.9
1955,11,42.7
1955,12,29.2
1956,1,49
1956,2,73.4
1956,3,78.7
1956,4,83.6
1956,5,90.7
1956,6,57.7
1956,7,134.6
1956,8,104.4
1956,9,48
1956,10,28.7
1956,11,41.9
1956,12,58.2
1957,1,79.5
1957,2,43.7
1957,3,31.5
1957,4,48.8
1957,5,65.8
1957,6,153.7
1957,7,78
1957,8,0.5
1957,9,109.7
1957,10,63.2
1957,11,82.3
1957,12,118.4
1958,1,86.4
1958,2,126.2
1958,3,50
1958,4,50.8
1958,5,61.2
1958,6,72.6
1958,7,162.1
1958,8,99.8
1958,9,106.4
1958,10,94.2
1958,11,53.8
1958,12,75.4
1959,1,123.7
1959,2,67.1
1959,3,52.3
1959,4,48.3
1959,5,21.1
1959,6,90.7
1959,7,47.8
1959,8,132.6
1959,9,38.1
1959,10,143
1959,11,91.7
1959,12,64.3
1960,1,63
1960,2,174.5
1960,3,60.7
1960,4,88.1
1960,5,50.8
1960,6,62.2
1960,7,87.6
1960,8,30.2
1960,9,57.7
1960,10,121.2
1960,11,77
1960,12,68.3
1961,1,31.5
1961,2,72.4
1961,3,68.8
1961,4,106.9
1961,5,62.5
1961,6,131.3
1961,7,78
1961,8,137.4
1961,9,21.1
1961,10,64.8
1961,11,62.5
1961,12,87.9
1962,1,98
1962,2,76.7
1962,3,49.8
1962,4,125
1962,5,39.1
1962,6,77.7
1962,7,127.8
1962,8,59.9
1962,9,68.6
1962,10,116.6
1962,11,41.1
1962,12,72.1
1963,1,41.7
1963,2,58.9
1963,3,85.3
1963,4,84.8
1963,5,88.1
1963,6,91.7
1963,7,62.7
