The data is already continuous,,,,
,,,,
Year,Month,Total Precip (mm),,yrs no break
1941,1,,,0.00
1941,2,,,0.00
1941,3,,,0.00
1941,4,,,0.00
1941,5,,,0.00
1941,6,,,0.00
1941,7,,,0.00
1941,8,,,0.00
1941,9,37.3,,0.08
1941,10,126.5,,0.17
1941,11,83.6,,0.25
1941,12,79,,0.33
1942,1,75.4,,0.42
1942,2,105.7,,0.50
1942,3,112.8,,0.58
1942,4,77.2,,0.67
1942,5,60.2,,0.75
1942,6,43.7,,0.83
1942,7,39.4,,0.92
1942,8,85.1,,1.00
1942,9,102.4,,1.08
1942,10,80,,1.17
1942,11,81.5,,1.25
1942,12,146.3,,1.33
1943,1,60.5,,1.42
1943,2,80,,1.50
1943,3,89.7,,1.58
1943,4,84.1,,1.67
1943,5,69.9,,1.75
1943,6,215.6,,1.83
1943,7,92.7,,1.92
1943,8,102.6,,2.00
1943,9,22.9,,2.08
1943,10,114.3,,2.17
1943,11,68.8,,2.25
1943,12,53.1,,2.33
1944,1,54.4,,2.42
1944,2,63.5,,2.50
1944,3,55.6,,2.58
1944,4,62,,2.67
1944,5,39.9,,2.75
1944,6,80.8,,2.83
1944,7,93,,2.92
1944,8,12.2,,3.00
1944,9,126,,3.08
1944,10,43.4,,3.17
1944,11,77.2,,3.25
1944,12,97.8,,3.33
1945,1,83.1,,3.42
1945,2,48.3,,3.50
1945,3,53.1,,3.58
1945,4,104.4,,3.67
1945,5,175.3,,3.75
1945,6,55.1,,3.83
1945,7,149.6,,3.92
1945,8,74.9,,4.00
1945,9,142.5,,4.08
1945,10,118.1,,4.17
1945,11,92.7,,4.25
1945,12,54.1,,4.33
1946,1,97.5,,4.42
1946,2,66.5,,4.50
1946,3,32.3,,4.58
1946,4,68.1,,4.67
1946,5,80.8,,4.75
1946,6,46.7,,4.83
1946,7,57.7,,4.92
1946,8,66.5,,5.00
1946,9,141.7,,5.08
1946,10,88.6,,5.17
1946,11,94,,5.25
1946,12,139.2,,5.33
1947,1,126.5,,5.42
1947,2,83.8,,5.50
1947,3,74.2,,5.58
1947,4,78.2,,5.67
1947,5,100.1,,5.75
1947,6,98.6,,5.83
1947,7,134.4,,5.92
1947,8,35.3,,6.00
1947,9,94.7,,6.08
1947,10,25.7,,6.17
1947,11,96.8,,6.25
1947,12,60.7,,6.33
1948,1,53.1,,6.42
1948,2,53.8,,6.50
1948,3,116.3,,6.58
1948,4,61.7,,6.67
1948,5,57.9,,6.75
1948,6,70.4,,6.83
1948,7,75.9,,6.92
1948,8,73.2,,7.00
1948,9,11.2,,7.08
1948,10,62.2,,7.17
1948,11,127,,7.25
1948,12,90.7,,7.33
1949,1,84.1,,7.42
1949,2,54.4,,7.50
1949,3,73.9,,7.58
1949,4,78.7,,7.67
1949,5,45,,7.75
1949,6,71.4,,7.83
1949,7,60.2,,7.92
1949,8,81.3,,8.00
1949,9,85.9,,8.08
1949,10,34,,8.17
1949,11,103.9,,8.25
1949,12,92.2,,8.33
1950,1,102.4,,8.42
1950,2,103.4,,8.50
1950,3,82.8,,8.58
1950,4,63.8,,8.67
1950,5,74.7,,8.75
1950,6,46.2,,8.83
1950,7,100.6,,8.92
1950,8,87.4,,9.00
1950,9,56.1,,9.08
1950,10,65.8,,9.17
1950,11,129.5,,9.25
1950,12,89.7,,9.33
1951,1,103.4,,9.42
1951,2,60.7,,9.50
1951,3,122.9,,9.58
1951,4,93.7,,9.67
1951,5,52.3,,9.75
1951,6,79,,9.83
1951,7,103.1,,9.92
1951,8,82.6,,10.00
1951,9,81.8,,10.08
1951,10,49.3,,10.17
1951,11,140.5,,10.25
1951,12,110.5,,10.33
1952,1,96,,10.42
1952,2,84.6,,10.50
1952,3,75.2,,10.58
1952,4,59.9,,10.67
1952,5,96.8,,10.75
1952,6,122.7,,10.83
1952,7,118.1,,10.92
1952,8,132.1,,11.00
1952,9,110,,11.08
1952,10,100.8,,11.17
1952,11,63.5,,11.25
1952,12,113.5,,11.33
1953,1,93.2,,11.42
1953,2,39.9,,11.50
1953,3,96.3,,11.58
1953,4,82.6,,11.67
1953,5,83.3,,11.75
1953,6,85.6,,11.83
1953,7,70.9,,11.92
1953,8,46.5,,12.00
1953,9,71.9,,12.08
1953,10,41.4,,12.17
1953,11,42.2,,12.25
1953,12,98.3,,12.33
1954,1,107.7,,12.42
1954,2,143.8,,12.50
1954,3,55.6,,12.58
1954,4,113.8,,12.67
1954,5,100.3,,12.75
1954,6,100.8,,12.83
1954,7,49,,12.92
1954,8,100.6,,13.00
1954,9,123.4,,13.08
1954,10,81,,13.17
1954,11,102.9,,13.25
1954,12,131.3,,13.33
1955,1,34.3,,13.42
1955,2,59.7,,13.50
1955,3,165.1,,13.58
1955,4,30,,13.67
1955,5,48,,13.75
1955,6,57.9,,13.83
1955,7,41.4,,13.92
1955,8,106.4,,14.00
1955,9,61.5,,14.08
1955,10,74.9,,14.17
1955,11,42.7,,14.25
1955,12,29.2,,14.33
1956,1,49,,14.42
1956,2,73.4,,14.50
1956,3,78.7,,14.58
1956,4,83.6,,14.67
1956,5,90.7,,14.75
1956,6,57.7,,14.83
1956,7,134.6,,14.92
1956,8,104.4,,15.00
1956,9,48,,15.08
1956,10,28.7,,15.17
1956,11,41.9,,15.25
1956,12,58.2,,15.33
1957,1,79.5,,15.42
1957,2,43.7,,15.50
1957,3,31.5,,15.58
1957,4,48.8,,15.67
1957,5,65.8,,15.75
1957,6,153.7,,15.83
1957,7,78,,15.92
1957,8,0.5,,16.00
1957,9,109.7,,16.08
1957,10,63.2,,16.17
1957,11,82.3,,16.25
1957,12,118.4,,16.33
1958,1,86.4,,16.42
1958,2,126.2,,16.50
1958,3,50,,16.58
1958,4,50.8,,16.67
1958,5,61.2,,16.75
1958,6,72.6,,16.83
1958,7,162.1,,16.92
1958,8,99.8,,17.00
1958,9,106.4,,17.08
1958,10,94.2,,17.17
1958,11,53.8,,17.25
1958,12,75.4,,17.33
1959,1,123.7,,17.42
1959,2,67.1,,17.50
1959,3,52.3,,17.58
1959,4,48.3,,17.67
1959,5,21.1,,17.75
1959,6,90.7,,17.83
1959,7,47.8,,17.92
1959,8,132.6,,18.00
1959,9,38.1,,18.08
1959,10,143,,18.17
1959,11,91.7,,18.25
1959,12,64.3,,18.33
1960,1,63,,18.42
1960,2,174.5,,18.50
1960,3,60.7,,18.58
1960,4,88.1,,18.67
1960,5,50.8,,18.75
1960,6,62.2,,18.83
1960,7,87.6,,18.92
1960,8,30.2,,19.00
1960,9,57.7,,19.08
1960,10,121.2,,19.17
1960,11,77,,19.25
1960,12,68.3,,19.33
1961,1,31.5,,19.42
1961,2,72.4,,19.50
1961,3,68.8,,19.58
1961,4,106.9,,19.67
1961,5,62.5,,19.75
1961,6,131.3,,19.83
1961,7,78,,19.92
1961,8,137.4,,20.00
1961,9,21.1,,20.08
1961,10,64.8,,20.17
1961,11,62.5,,20.25
1961,12,87.9,,20.33
1962,1,98,,20.42
1962,2,76.7,,20.50
1962,3,49.8,,20.58
1962,4,125,,20.67
1962,5,39.1,,20.75
1962,6,77.7,,20.83
1962,7,127.8,,20.92
1962,8,59.9,,21.00
1962,9,68.6,,21.08
1962,10,116.6,,21.17
1962,11,41.1,,21.25
1962,12,72.1,,21.33
1963,1,41.7,,21.42
1963,2,58.9,,21.50
1963,3,85.3,,21.58
1963,4,84.8,,21.67
1963,5,88.1,,21.75
1963,6,91.7,,21.83
1963,7,62.7,,21.92
1963,8,149.4,,22.00
1963,9,117.9,,22.08
1963,10,14,,22.17
1963,11,149.1,,22.25
1963,12,29,,22.33
1964,1,110.7,,22.42
1964,2,31.2,,22.50
1964,3,68.6,,22.58
1964,4,62,,22.67
1964,5,42.9,,22.75
1964,6,31.2,,22.83
1964,7,116.1,,22.92
1964,8,93.7,,23.00
1964,9,32.8,,23.08
1964,10,43.9,,23.17
1964,11,73.9,,23.25
1964,12,75.2,,23.33
1965,1,55.1,,23.42
1965,2,74.7,,23.50
1965,3,18.3,,23.58
1965,4,63.5,,23.67
1965,5,46,,23.75
1965,6,18.5,,23.83
1965,7,85.9,,23.92
1965,8,159.8,,24.00
1965,9,103.1,,24.08
1965,10,129.8,,24.17
1965,11,130.8,,24.25
1965,12,49.3,,24.33
1966,1,86.6,,24.42
1966,2,63,,24.50
1966,3,77.2,,24.58
1966,4,20.6,,24.67
1966,5,38.1,,24.75
1966,6,76.2,,24.83
1966,7,70.4,,24.92
1966,8,121.4,,25.00
1966,9,80,,25.08
1966,10,44.7,,25.17
1966,11,94,,25.25
1966,12,107.7,,25.33
1967,1,55.4,,25.42
1967,2,43.4,,25.50
1967,3,15,,25.58
1967,4,69.9,,25.67
1967,5,58.2,,25.75
1967,6,118.1,,25.83
1967,7,67.3,,25.92
1967,8,75.7,,26.00
1967,9,56.4,,26.08
1967,10,71.6,,26.17
1967,11,83.8,,26.25
1967,12,93.7,,26.33
1968,1,47,,26.42
1968,2,38.1,,26.50
1968,3,84.6,,26.58
1968,4,60.7,,26.67
1968,5,50.5,,26.75
1968,6,86.1,,26.83
1968,7,47.2,,26.92
1968,8,66.8,,27.00
1968,9,62.2,,27.08
1968,10,67.3,,27.17
1968,11,97.3,,27.25
1968,12,103.9,,27.33
1969,1,80.5,,27.42
1969,2,20.3,,27.50
1969,3,47.8,,27.58
1969,4,98.6,,27.67
1969,5,94.5,,27.75
1969,6,117.3,,27.83
1969,7,59.7,,27.92
1969,8,88.9,,28.00
1969,9,113.5,,28.08
1969,10,57.2,,28.17
1969,11,109.7,,28.25
1969,12,108,,28.33
1970,1,18.8,,28.42
1970,2,45.5,,28.50
1970,3,52.6,,28.58
1970,4,63,,28.67
1970,5,52.1,,28.75
1970,6,48.5,,28.83
1970,7,54.9,,28.92
1970,8,103.1,,29.00
1970,9,117.3,,29.08
1970,10,83.3,,29.17
1970,11,75.9,,29.25
1970,12,91.7,,29.33
1971,1,64.3,,29.42
1971,2,126,,29.50
1971,3,68.8,,29.58
1971,4,45.5,,29.67
1971,5,39.1,,29.75
1971,6,48,,29.83
1971,7,56.4,,29.92
1971,8,103.9,,30.00
1971,9,77.5,,30.08
1971,10,38.6,,30.17
1971,11,53.6,,30.25
1971,12,84.1,,30.33
1972,1,38.9,,30.42
1972,2,82.6,,30.50
1972,3,120.1,,30.58
1972,4,59.7,,30.67
1972,5,68.1,,30.75
1972,6,134.6,,30.83
1972,7,156,,30.92
1972,8,126.2,,31.00
1972,9,66,,31.08
1972,10,82.6,,31.17
1972,11,90.7,,31.25
1972,12,154.2,,31.33
1973,1,66.8,,31.42
1973,2,66.3,,31.50
1973,3,89.4,,31.58
1973,4,71.4,,31.67
1973,5,120.4,,31.75
1973,6,93,,31.83
1973,7,75.9,,31.92
1973,8,88.4,,32.00
1973,9,91.2,,32.08
1973,10,57.2,,32.17
1973,11,62,,32.25
1973,12,150.4,,32.33
1974,1,64.5,,32.42
1974,2,40.1,,32.50
1974,3,93.2,,32.58
1974,4,96.5,,32.67
1974,5,104.9,,32.75
1974,6,66.3,,32.83
1974,7,145,,32.92
1974,8,34,,33.00
1974,9,46.7,,33.08
1974,10,27.4,,33.17
1974,11,87.1,,33.25
1974,12,90.2,,33.33
1975,1,61.2,,33.42
1975,2,46.2,,33.50
1975,3,83.1,,33.58
1975,4,60.2,,33.67
1975,5,73.2,,33.75
1975,6,86.9,,33.83
1975,7,154.7,,33.92
1975,8,87.9,,34.00
1975,9,227.6,,34.08
1975,10,90.4,,34.17
1975,11,119.9,,34.25
1975,12,99.3,,34.33
1976,1,100.1,,34.42
1976,2,108.5,,34.50
1976,3,89.2,,34.58
1976,4,81.5,,34.67
1976,5,119.4,,34.75
1976,6,84.6,,34.83
1976,7,104.4,,34.92
1976,8,80,,35.00
1976,9,109,,35.08
1976,10,115.1,,35.17
1976,11,43.7,,35.25
1976,12,47.8,,35.33
1977,1,57.7,,35.42
1977,2,47.3,,35.50
1977,3,87.7,,35.58
1977,4,67.2,,35.67
1977,5,24.4,,35.75
1977,6,106.8,,35.83
1977,7,72.6,,35.92
1977,8,81.9,,36.00
1977,9,144.9,,36.08
1977,10,112.9,,36.17
1977,11,90.6,,36.25
